	ensembl_gene_id	mgi_symbol	chromosome_name	start_position	end_position	strand	gene_biotype	baseMean	log2FoldChange	lfcSE	pvalue	padj	isTF
25	ENSMUSG00000031700	Gpt2	8	86219205	86254189	1	protein_coding	5230.44931099004	0.725267346127076	0.113777898936304	2.49598621092599e-13	1.17435182968646e-10	NA
26	ENSMUSG00000020326	Ccng1	11	40639379	40646138	-1	protein_coding	10426.4026688803	-0.477373239935238	0.0725351137999029	2.58794477648829e-13	1.17435182968646e-10	NA
27	ENSMUSG00000113178	Mylf-ps	12	101188256	101188676	-1	processed_pseudogene	2245.17609665892	-0.74188169561549	0.116162999253691	2.42886889218516e-13	1.17435182968646e-10	NA
28	ENSMUSG00000019929	Dcn	10	97315471	97354005	1	protein_coding	3351.24344734874	0.548099704225812	0.0856192967376041	2.85440453271746e-13	1.24900586910194e-10	NA
29	ENSMUSG00000078515	Ddi2	4	141404860	141450730	-1	protein_coding	1115.3741948565	0.619117564453288	0.0982571650820123	3.46968871237262e-13	1.46588365875825e-10	NA
30	ENSMUSG00000038216	Pnmt	11	98277276	98279007	1	protein_coding	35.0062440164039	2.19655156741152	0.363352585870278	5.88570964441063e-13	2.4037238187773e-10	NA
31	ENSMUSG00000001334	Fndc5	4	129030792	129038386	1	protein_coding	935.283610731721	-0.625728487081373	0.10315065273628	1.53578442355163e-12	6.0698163733402e-10	NA
32	ENSMUSG00000021456	Fbp2	13	62984691	63006236	-1	protein_coding	666.650710744184	0.648102051769392	0.107072026164063	1.63041753215847e-12	6.24246112625174e-10	NA
33	ENSMUSG00000022797	Tfrc	16	32427738	32451612	1	protein_coding	3019.70172698341	-0.695829115131945	0.115604167119627	2.11634214744497e-12	7.85740120924114e-10	NA
34	ENSMUSG00000027887	Sypl2	3	108118788	108133964	-1	protein_coding	5171.05977451271	-0.590002248279575	0.0982765477076253	2.60705592925027e-12	9.39460271916892e-10	NA
35	ENSMUSG00000063275	Hacd1	2	13855093	14060946	-1	protein_coding	552.377258804553	-0.691949430456215	0.116589233834948	3.49680559873919e-12	1.2240817770215e-09	NA
36	ENSMUSG00000074218	Cox7a1	7	29883569	29885503	1	protein_coding	2331.54413465064	-0.624620659956243	0.1059876807868	4.49045152194279e-12	1.52825033463453e-09	NA
37	ENSMUSG00000023067	Cdkn1a	17	29309950	29319701	1	protein_coding	240.448502972345	1.2790878191737	0.228201656254817	6.83240489049833e-12	2.26244931671312e-09	NA
38	ENSMUSG00000026879	Gsn	2	35146392	35197904	1	protein_coding	9356.39439749249	0.540758324107245	0.091441386519973	7.04127963512395e-12	2.27025679182996e-09	NA
39	ENSMUSG00000049791	Fzd4	7	89053563	89062342	1	protein_coding	1303.58190654535	0.705914139546537	0.121729275528941	8.01103915603983e-12	2.51669876255897e-09	NA
40	ENSMUSG00000038370	Pcp4l1	1	171000831	171023837	-1	protein_coding	499.519539827653	-0.679953565667061	0.117469634025814	8.24509691096131e-12	2.52547318382745e-09	NA
41	ENSMUSG00000027742	Cog6	3	52889296	52924658	-1	protein_coding	1343.38386440495	0.49582201600335	0.0829330866483404	9.07131194076269e-12	2.71077350971279e-09	NA
42	ENSMUSG00000041189	Chrnb1	11	69674862	69686769	-1	protein_coding	493.190365666817	0.816326849166706	0.14117576199252	9.817800770014e-12	2.8639927389098e-09	NA
43	ENSMUSG00000028737	Aldh4a1	4	139350177	139377001	1	protein_coding	717.126569415814	-0.626056497156428	0.109533944342621	1.30556849010635e-11	3.71995933506581e-09	NA
44	ENSMUSG00000000031	H19	7	142129262	142131886	-1	lncRNA	3789.00852005555	-0.755652542109937	0.13412054979805	2.20115360624824e-11	6.12921226903487e-09	NA
45	ENSMUSG00000031312	Itgb1bp2	X	100492694	100497147	1	protein_coding	1155.53023530238	-0.500035463771551	0.0861488494927749	2.44541458835574e-11	6.65804878589657e-09	NA
46	ENSMUSG00000083863	Gm13341	2	22477303	22477974	-1	unprocessed_pseudogene	5096.05163795463	-0.564925978376165	0.0998298724251298	2.55767073881146e-11	6.81230041128652e-09	NA
47	ENSMUSG00000017781	Pitpna	11	75478923	75519630	1	protein_coding	1916.46019033934	-0.440771568778587	0.0738452344553829	2.70735239758525e-11	7.05754927132224e-09	NA
48	ENSMUSG00000051627	H1f4	13	23804612	23806541	-1	protein_coding	92.4094807768591	-1.64138875077372	0.295559517770948	2.92259773425285e-11	7.4599307166804e-09	NA
49	ENSMUSG00000039914	Coq10a	10	128198969	128204866	-1	protein_coding	3903.35287730273	-0.499180896826702	0.0876270754531223	4.710416124532e-11	1.17779629301564e-08	NA
50	ENSMUSG00000093798	Gm8355	10	14621106	14623046	-1	processed_pseudogene	238.78547757231	-0.925625645874606	0.170716965267419	5.08631685705431e-11	1.24635108265259e-08	NA
51	ENSMUSG00000117545	Gm30794	17	87762280	87767792	-1	lncRNA	178.844104559601	-1.02495615380073	0.195317131472713	7.88076262759752e-11	1.89323732771225e-08	NA
52	ENSMUSG00000017707	Serinc3	2	163465192	163487051	-1	protein_coding	3189.95441701327	0.531516674556776	0.0967513365112834	9.62757894481059e-11	2.26840571599653e-08	NA
53	ENSMUSG00000037152	Ndufc1	3	51312098	51316409	-1	protein_coding	1543.77394671617	-0.493495264062477	0.0890293323042762	1.26595763841172e-10	2.92651188411705e-08	NA
54	ENSMUSG00000067736	Gm10222	1	24651488	24651781	-1	unprocessed_pseudogene	642.965955994272	-0.610246498256682	0.114599992215934	1.30821002286312e-10	2.9681831852072e-08	NA
55	ENSMUSG00000020623	Map2k6	11	110289948	110416348	1	protein_coding	322.983422015859	-0.716047132855421	0.135605695554293	1.4618029547677e-10	3.25636541851161e-08	NA
56	ENSMUSG00000070871	Ccnyl1	1	64729614	64764803	1	protein_coding	339.813253443102	0.767598959038442	0.146564762663751	1.84717899173851e-10	4.04136375121075e-08	NA
57	ENSMUSG00000020475	Pgam2	11	5751640	5753733	-1	protein_coding	20912.5138617818	-0.591283230193008	0.112912061478511	2.35860722564663e-10	5.06976416291623e-08	NA
58	ENSMUSG00000031565	Fgfr1	8	26003670	26065734	1	protein_coding	1240.2038501392	0.455452071961217	0.082686213643855	3.05432911396486e-10	6.4520069490168e-08	NA
59	ENSMUSG00000039852	Rere	4	150366103	150706423	1	protein_coding	1860.1859561995	0.450496456728845	0.0816351396103421	3.16871352440487e-10	6.53881330407201e-08	NA
60	ENSMUSG00000020722	Cacng1	11	107594044	107607348	-1	protein_coding	3724.72511848831	0.410257695498481	0.0725531938488724	3.20216126546132e-10	6.53881330407201e-08	NA
61	ENSMUSG00000064354	mt-Co2	MT	7013	7696	1	protein_coding	2524.99405885281	-0.635488744922004	0.126153466426853	5.70335736645473e-10	1.14553335170169e-07	NA
62	ENSMUSG00000033808	Tmem87a	2	120185793	120234594	-1	protein_coding	847.045609642503	0.526294020892247	0.101651130480313	6.04191194329295e-10	1.19395976014879e-07	NA
63	ENSMUSG00000034621	Gpatch8	11	102366741	102447218	-1	protein_coding	672.142973389855	0.511710605857571	0.0994608616412875	8.7928771064455e-10	1.71000524298683e-07	NA
64	ENSMUSG00000020919	Stat5b	11	100671557	100741550	-1	protein_coding	3628.44489049542	0.427008869349017	0.0789710883234984	9.32749365330552e-10	1.78563206625468e-07	Yes
65	ENSMUSG00000038690	Atp5j2	5	145120508	145128872	-1	protein_coding	2845.20042814565	-0.425059689711262	0.0786260022370389	9.74704521030658e-10	1.83724304487194e-07	NA
66	ENSMUSG00000028195	Ccn1	3	145352731	145355736	-1	protein_coding	529.305304018715	0.828362134431506	0.171048237631701	1.17126615406045e-09	2.17429589690131e-07	NA
67	ENSMUSG00000018339	Gpx3	11	54793279	54801203	1	protein_coding	1939.36836264141	0.47100240857473	0.0905704945611582	1.25701693247121e-09	2.26484874362313e-07	NA
68	ENSMUSG00000021134	Srsf5	12	80992278	80997281	1	protein_coding	2083.22537519596	0.47987006741437	0.0927434122986856	1.24037382956061e-09	2.26484874362313e-07	NA
69	ENSMUSG00000024608	Rps14	18	60880170	60911618	1	protein_coding	2966.25509747047	0.379800152588917	0.0694167647030471	1.62408130670939e-09	2.88380350287006e-07	NA
70	ENSMUSG00000034457	Eda2r	X	96377446	96420822	-1	protein_coding	470.395903669141	0.602250764891918	0.123941582752752	1.65848817256292e-09	2.9028281557487e-07	NA
71	ENSMUSG00000068614	Actc1	2	113877763	113884029	-1	protein_coding	2884.58996026326	-1.63282415408908	0.358176839300261	2.26474139913044e-09	3.90811431297834e-07	NA
72	ENSMUSG00000039218	Srrm2	17	24009506	24043715	1	protein_coding	4729.96206164384	0.481496547224056	0.095870367772405	2.69972761387895e-09	4.59403648961734e-07	NA
73	ENSMUSG00000064358	mt-Co3	MT	8607	9390	1	protein_coding	2343.48799099291	-0.643698305542782	0.136952652615092	3.11019242390259e-09	5.22001062707597e-07	NA
74	ENSMUSG00000048416	Mlf1	3	67281430	67307336	1	protein_coding	3210.78663218611	-0.460939904305443	0.0911023671841328	3.18095800395799e-09	5.2666347924991e-07	NA
75	ENSMUSG00000062960	Kdr	5	76093487	76139118	-1	protein_coding	402.372053785499	-0.869900919962859	0.190070562185431	3.41824142035591e-09	5.58403918429342e-07	NA
76	ENSMUSG00000028980	H6pd	4	150063932	150093480	-1	protein_coding	1118.88639203662	0.498130285070537	0.101862488057011	4.10573577911958e-09	6.61887825865435e-07	NA
77	ENSMUSG00000022043	Trim35	14	66534480	66548873	1	protein_coding	1865.41201010723	-0.484563976805323	0.0986443962645225	4.54156947096586e-09	7.2264037867888e-07	NA
78	ENSMUSG00000022890	Atp5j	16	84624754	84632513	-1	protein_coding	3976.50338545727	-0.421123677376971	0.0822855862579596	4.97281264656775e-09	7.81114109560872e-07	NA
79	ENSMUSG00000015568	Lpl	8	69333143	69360100	1	protein_coding	5972.43143043814	-0.465336709531985	0.0944350332213387	5.82257910400767e-09	9.03015685851924e-07	NA
80	ENSMUSG00000021815	Mss51	14	20532935	20546969	-1	protein_coding	2691.20510668421	1.83097120952541	0.440610668519112	7.17849779446908e-09	1.09938693722294e-06	NA
81	ENSMUSG00000038375	Trp53inp2	2	155222979	155231770	1	protein_coding	5743.75733353878	-0.423145412353198	0.0841666064754784	7.65070936474601e-09	1.15724063131936e-06	NA
82	ENSMUSG00000026034	Clk1	1	58449348	58463225	-1	protein_coding	832.958606248416	0.526807516785369	0.112439275531539	7.80247713978725e-09	1.16580426727651e-06	NA
83	ENSMUSG00000049327	Kmt5a	5	124577993	124600371	1	protein_coding	1474.36283471201	-0.505138507012052	0.107028513627471	8.77210298325283e-09	1.29488922591342e-06	NA
84	ENSMUSG00000102070	Gm28661	1	24653966	24654646	-1	unprocessed_pseudogene	3809.87272713748	-0.531590746988882	0.114873197643503	9.79886596253072e-09	1.41242006791678e-06	NA
85	ENSMUSG00000030103	Bhlhe40	6	108637590	108643886	1	protein_coding	2207.55372519889	0.473387341213035	0.0986496451718123	9.72555640947554e-09	1.41242006791678e-06	Yes
86	ENSMUSG00000016252	Atp5e	2	174302865	174305898	-1	protein_coding	4090.14860108253	-0.417760651981189	0.0839085585894535	1.08936574944599e-08	1.55196618165259e-06	NA
87	ENSMUSG00000042628	Zfyve1	12	83593332	83643996	-1	protein_coding	444.081764496383	0.516581103423448	0.111707045017523	1.20043935285383e-08	1.69054976450173e-06	NA
88	ENSMUSG00000050856	Atp5k	5	108581110	108582314	-1	protein_coding	2823.52921095224	-0.470993923995317	0.0990689956438889	1.26401946199057e-08	1.75985982367142e-06	NA
89	ENSMUSG00000083563	Gm13340	2	22478115	22479659	-1	unprocessed_pseudogene	15276.0843862767	-0.45964955446468	0.0970104386818645	1.66591510016016e-08	2.29334739406318e-06	NA
90	ENSMUSG00000101111	Gm28437	1	24652270	24653052	-1	unprocessed_pseudogene	4157.69157224193	-0.484482177715086	0.104349922862709	1.75008341499237e-08	2.38244688894294e-06	NA
91	ENSMUSG00000073490	Ifi207	1	173550993	173569313	-1	protein_coding	81.5288150178098	1.08040757472416	0.271160675539342	1.81428084170065e-08	2.4426998761007e-06	NA
92	ENSMUSG00000029432	Nipsnap2	5	129802127	129835391	1	protein_coding	6237.16534336114	-0.350868791608964	0.0687320304147595	1.97151322772317e-08	2.62554131152873e-06	NA
93	ENSMUSG00000021814	Anxa7	14	20505328	20530201	-1	protein_coding	1379.37951959146	0.444287317742541	0.0942622262315199	2.48116992845841e-08	3.26874128639488e-06	NA
94	ENSMUSG00000025129	Ppp1r27	11	120440805	120441958	-1	protein_coding	891.937927821219	-0.669755656297198	0.158231445968069	2.5512081160519e-08	3.29025282503872e-06	NA
95	ENSMUSG00000050821	Fam131a	16	20511991	20521798	1	protein_coding	924.008615931398	-0.515478243720681	0.115246125629542	2.5341353432322e-08	3.29025282503872e-06	NA
96	ENSMUSG00000113739	Gm48584	12	16026265	16030489	-1	lncRNA	45.5431153839671	1.3271032905724	0.350498044043339	2.93240546826306e-08	3.74248247887073e-06	NA
97	ENSMUSG00000028525	Pde4b	4	101944740	102464456	1	protein_coding	857.979736893099	0.481770328262093	0.106352393950752	3.14764037413319e-08	3.97576184163709e-06	NA
98	ENSMUSG00000030747	Dgat2	7	98802865	98831926	-1	protein_coding	518.273194199014	-0.569476403320619	0.132783855060309	3.388115972344e-08	4.23583641766925e-06	NA
99	ENSMUSG00000036046	5031439G07Rik	15	84828137	84872752	-1	protein_coding	4245.58396641397	-0.494483472447839	0.110637450992295	3.45130476092982e-08	4.27125110413254e-06	NA
100	ENSMUSG00000083089	Gm4760	X	141966504	141967533	-1	processed_pseudogene	118.209258451838	-0.915259579397955	0.232205203765471	3.6737686575914e-08	4.50110135928099e-06	NA
101	ENSMUSG00000032177	Pde4a	9	21077010	21124544	1	protein_coding	655.991914877442	-0.602817628549898	0.142978183657741	3.7159938746154e-08	4.50775811403841e-06	NA
102	ENSMUSG00000059430	Actg2	6	83489887	83513247	-1	protein_coding	105.747741570604	-1.04259134288104	0.273974392856733	3.88560812280222e-08	4.66730105103655e-06	NA
103	ENSMUSG00000019278	Dpep1	8	123912981	123928551	1	protein_coding	194.208672638481	0.654920203146543	0.159010745470115	4.43596770469483e-08	5.22591118441549e-06	NA
104	ENSMUSG00000055538	Zcchc24	14	25712066	25769463	-1	protein_coding	1397.17379827655	0.502252794792447	0.114334977491837	4.42056975887154e-08	5.22591118441549e-06	NA
105	ENSMUSG00000026664	Phyh	2	4923830	4943541	1	protein_coding	1512.20166798772	-0.491268087309981	0.111378640962351	4.76689909291614e-08	5.56229025584843e-06	NA
106	ENSMUSG00000029059	Prxl2b	4	154979961	154983592	-1	protein_coding	1304.19526306063	-0.507893617389887	0.117120289483317	5.31209700312554e-08	6.09650009808609e-06	NA
107	ENSMUSG00000024404	Riok3	18	12261798	12290444	1	protein_coding	2752.68524503477	0.425841981846705	0.0920564089449303	5.32423694494949e-08	6.09650009808609e-06	NA
108	ENSMUSG00000023951	Vegfa	17	46327919	46343295	-1	protein_coding	2821.3267920508	-0.470818518785401	0.105716103481568	5.38564410802979e-08	6.10971403810935e-06	NA
109	ENSMUSG00000068523	Gng5	3	146205562	146211327	1	protein_coding	1056.64339226292	-0.43259314767471	0.0942906118845118	5.62303325847631e-08	6.32049573237171e-06	NA
110	ENSMUSG00000030730	Atp2a1	7	126045030	126062280	-1	protein_coding	363929.026652544	0.313641759130587	0.062737715667931	6.23824511589758e-08	6.9482708327252e-06	NA
111	ENSMUSG00000049551	Fzd9	5	135277792	135280084	-1	protein_coding	289.73306929747	-0.636554618968111	0.157755255607685	6.89830212629142e-08	7.61423402264166e-06	NA
112	ENSMUSG00000032330	Cox7a2	9	79662643	79667160	-1	protein_coding	1433.56543616767	-0.400801535948047	0.0861018901967212	7.43784366220575e-08	8.06446553534025e-06	NA
113	ENSMUSG00000055044	Pdlim1	19	40209617	40260286	-1	protein_coding	524.073299943875	-0.529077935593355	0.125823581678268	7.43511444472114e-08	8.06446553534025e-06	NA
114	ENSMUSG00000038550	Ciart	3	95785815	95789563	-1	protein_coding	238.494419838631	0.793600987980654	0.205269445621783	7.69108689516522e-08	8.26589444206704e-06	NA
115	ENSMUSG00000025968	Ndufs1	1	63182755	63215992	-1	protein_coding	4074.97623468481	-0.355010520928595	0.0737668362786034	8.0581840727387e-08	8.58511923992997e-06	NA
116	ENSMUSG00000101939	Gm28438	1	24651856	24652200	-1	unprocessed_pseudogene	720.926695246998	-0.573279812285273	0.140247373701845	8.15653408793204e-08	8.61498755563305e-06	NA
117	ENSMUSG00000042254	Cilp	9	65172462	65187887	1	protein_coding	301.435570703771	0.668319451578103	0.168888739978883	8.35682814373563e-08	8.75109901000418e-06	NA
118	ENSMUSG00000104913	Gm6560	5	22929576	22931166	-1	processed_pseudogene	1585.5665041327	-0.439019252570763	0.0981051007488634	8.4782479518915e-08	8.80300795818429e-06	NA
119	ENSMUSG00000022748	Cmss1	16	57122363	57427227	-1	protein_coding	303.724345385276	-0.598120045077866	0.148250435643081	8.58404193572941e-08	8.83795645349217e-06	NA
120	ENSMUSG00000025488	Cox8b	7	140478858	140480359	-1	protein_coding	4052.70100590565	-0.38990393344312	0.0835750115985829	8.69380830827864e-08	8.87637828275249e-06	NA
121	ENSMUSG00000066595	Flvcr1	1	190738044	190758355	-1	protein_coding	351.549946277339	1.46335061103036	0.433941491777255	9.67936208197457e-08	9.80095406845888e-06	NA
122	ENSMUSG00000044894	Uqcrq	11	53318749	53321658	-1	protein_coding	2271.71425883898	-0.374612836410111	0.0797047051446985	9.78475330731925e-08	9.8264588132193e-06	NA
123	ENSMUSG00000059890	Ube4a	9	44834425	44876898	-1	protein_coding	732.52550851132	0.624906284392529	0.157769995283511	1.00505205008151e-07	1.00112989573973e-05	NA
124	ENSMUSG00000065947	mt-Nd4l	MT	9877	10173	1	protein_coding	614.045601472695	-0.53330947726756	0.129871260891897	1.10116806193787e-07	1.08802508829539e-05	NA
125	ENSMUSG00000026895	Ndufa8	2	35926338	35939418	-1	protein_coding	1925.05547359837	-0.453513790173275	0.104774671071947	1.28131517769356e-07	1.25589388456812e-05	NA
126	ENSMUSG00000030869	Ndufab1	7	121684626	121701109	-1	protein_coding	910.591348033431	-0.420883721929406	0.0950586199612408	1.47114013091203e-07	1.41924479401057e-05	NA
127	ENSMUSG00000018377	Vezf1	11	87959105	87975555	1	protein_coding	2034.04509897362	0.356897125544354	0.0762235395895154	1.46658487957379e-07	1.41924479401057e-05	Yes
128	ENSMUSG00000024247	Pkdcc	17	83522721	83532499	1	protein_coding	1398.43556928726	-0.502712116599083	0.121898441144511	1.48677042846752e-07	1.42311806949876e-05	NA
129	ENSMUSG00000054640	Slc8a1	17	81680534	82045806	-1	protein_coding	270.184899151273	0.597598006809449	0.153124711331106	1.51734705694656e-07	1.44112683269064e-05	NA
130	ENSMUSG00000033416	Gucd1	10	75186945	75353806	-1	protein_coding	916.284409398342	0.417224620199623	0.0942969202070733	1.59672026827222e-07	1.5032691017757e-05	NA
131	ENSMUSG00000035941	Ibtk	9	85569413	85631387	-1	protein_coding	1549.66048952416	-0.376607429626898	0.0820920516743246	1.60731515126197e-07	1.5032691017757e-05	NA
132	ENSMUSG00000049422	Chchd10	10	75768964	75773581	1	protein_coding	3358.67078817051	-0.438620088727115	0.101270817565231	1.64550638952552e-07	1.5273291124596e-05	NA
133	ENSMUSG00000033478	Fhip2a	19	57349112	57378018	1	protein_coding	310.995892178137	0.535650746517563	0.133824601017558	1.69131800026763e-07	1.55804722851722e-05	NA
134	ENSMUSG00000080977	Gm13772	2	90634604	90634920	-1	processed_pseudogene	155.050636382208	-0.788048473773646	0.215686141298992	1.70913923095708e-07	1.56271446699151e-05	NA
135	ENSMUSG00000060675	Plaat3	19	7534824	7565910	1	protein_coding	2608.97417658461	-0.423192094304402	0.0965678606592101	1.73114161893545e-07	1.57110719371831e-05	NA
136	ENSMUSG00000026603	Smyd2	1	189612689	189654560	-1	protein_coding	2111.10721036058	0.499047049295497	0.123100831997386	2.12291804719302e-07	1.91196007799459e-05	NA
137	ENSMUSG00000039910	Cited2	10	17598966	17601422	1	protein_coding	937.516848927396	1.11047872212447	0.342369580888581	2.13792467095379e-07	1.91196007799459e-05	NA
138	ENSMUSG00000110547	Gm29773	8	124623012	124627359	1	lncRNA	220.869779878595	-0.685826852481493	0.185300888978953	2.16673573492663e-07	1.92368450900877e-05	NA
139	ENSMUSG00000073147	5031425E22Rik	5	23587297	23639396	-1	lncRNA	293.848734060192	0.595935254056025	0.1562823926039	2.23220029773939e-07	1.96754806100022e-05	NA
140	ENSMUSG00000023088	Abcc1	16	14179422	14293601	1	protein_coding	915.946868790835	0.414513690970775	0.0954206840142196	2.41421708909061e-07	2.11278484110987e-05	NA
141	ENSMUSG00000020483	Dynll2	11	87870351	87878359	-1	protein_coding	5890.98877665332	-0.340192464415369	0.0734075368592342	2.45960470100973e-07	2.13723948913271e-05	NA
142	ENSMUSG00000035649	Zcchc7	4	44755877	44932215	1	protein_coding	407.938220270838	0.484135821658834	0.119192732093204	2.53950773859399e-07	2.16069783425372e-05	NA
143	ENSMUSG00000039959	Hip1	5	135435385	135573974	-1	protein_coding	483.065866014562	0.52691496264973	0.133941226232221	2.50432228104383e-07	2.16069783425372e-05	NA
144	ENSMUSG00000020029	Nudt4	10	95382869	95400008	-1	protein_coding	4392.45105942948	-0.334944263995693	0.0720802087278775	2.53063053275194e-07	2.16069783425372e-05	NA
145	ENSMUSG00000059734	Ndufs8	19	3958863	3962774	-1	protein_coding	1214.0088305901	-0.390659129805096	0.0883383855022488	2.65112929298913e-07	2.24011283432434e-05	NA
146	ENSMUSG00000018770	Atp5g3	2	73738791	73741670	-1	protein_coding	5401.59767375659	-0.398692327319919	0.0909165592081566	2.69657655972389e-07	2.2629079458724e-05	NA
147	ENSMUSG00000028333	Anp32b	4	46450902	46472657	1	protein_coding	1193.20407071121	0.382490180013303	0.0861296141764556	2.83686806634521e-07	2.36444269039874e-05	NA
148	ENSMUSG00000092274	Neat1	19	5874736	5895898	-1	lncRNA	13162.0638454765	0.433914570235835	0.102916038086225	2.97862660343225e-07	2.46581980711162e-05	NA
149	ENSMUSG00000030096	Slc6a6	6	91661034	91736047	1	protein_coding	1634.54030776642	0.363953112150371	0.0809731988956967	3.11329024290258e-07	2.56000215141225e-05	NA
150	ENSMUSG00000058076	Sdhc	1	170954734	170978172	-1	protein_coding	2665.33721132301	-0.360273239133206	0.0799510418659719	3.15516904409566e-07	2.57714207521734e-05	NA
151	ENSMUSG00000017300	Tnnc2	2	164619081	164621887	-1	protein_coding	1286.25748632002	-0.431868319357258	0.10291009523037	3.36588981103874e-07	2.73105178575143e-05	NA
152	ENSMUSG00000026260	Ndufa10	1	92366732	92401582	-1	protein_coding	2628.36291455246	-0.318663727063399	0.0691102255368807	3.90363329185982e-07	3.1465338876228e-05	NA
153	ENSMUSG00000030255	Sspn	6	145877367	145910949	1	protein_coding	1297.72842214698	-0.349729435642804	0.0778489235499132	4.04753159542465e-07	3.24119981092436e-05	NA
154	ENSMUSG00000034640	Tiparp	3	65435831	65462939	1	protein_coding	288.014341991524	0.579637659064369	0.157033130587232	4.14841516533926e-07	3.2795953978326e-05	NA
155	ENSMUSG00000083219	Gm11410	4	79922226	79923368	1	processed_pseudogene	2296.39340527163	-0.452820749921958	0.111518229161724	4.19439108810763e-07	3.2795953978326e-05	NA
156	ENSMUSG00000039316	Rftn1	17	50299285	50497702	-1	protein_coding	182.058685490141	-0.8461166242568	0.25540880303748	4.20255042001076e-07	3.2795953978326e-05	NA
